AGE	SEXE	REGION	STAT_MARI	SAL_HOR	SYNDICAT	CATEGORIE	NIV_ETUDES	NB_PERS	NB_ENF	REV_FOYER
31	F	S	C	11.00	non	4	43	4	0	9
37	M	S	M	13.00	non	10	32	5	3	6
54	F	NW	M	18.00	non	5	39	2	0	14
31	M	S	C	12.00	non	3	38	8	2	7
18	M	NE	C	8.00	non	4	40	4	0	15
57	F	S	C	18.00	non	5	43	1	0	16
60	F	NW	M	8.16	non	3	39	2	0	7
35	M	NW	C	14.50	non	7	39	1	0	8
24	M	NE	C	12.00	non	5	40	2	0	12
37	M	NW	C	30.00	non	7	35	3	0	5
26	M	S	C	9.00	non	10	40	2	0	8
54	M	NW	S	8.00	non	3	32	2	0	3
76	M	S	C	14.90	non	3	39	1	0	8
28	F	S	M	36.05	non	2	43	3	1	16
43	F	W	C	22.00	oui	2	41	2	0	12
63	F	W	D	15.50	non	5	44	1	0	11
24	M	S	C	10.00	non	3	40	2	0	16
59	F	S	M	55.00	non	1	43	2	0	15
47	M	W	M	13.00	non	7	39	6	0	7
31	M	W	M	15.00	non	7	34	6	3	9
48	F	W	D	10.00	non	5	40	2	0	13
42	M	S	M	15.10	non	9	33	5	2	10
28	F	S	M	9.00	non	3	40	6	1	14
35	M	S	M	10.00	non	6	39	3	1	12
38	M	W	M	20.00	non	2	43	4	2	13
56	M	S	M	20.11	non	5	40	2	0	14
45	M	NE	M	20.64	oui	10	39	2	0	13
33	F	NW	C	14.50	oui	4	39	3	2	7
34	M	NE	M	22.11	oui	2	43	4	2	15
55	F	S	C	17.75	oui	1	40	2	0	13
23	F	NE	C	14.00	non	1	42	2	0	8
63	M	S	M	10.00	non	10	43	2	0	13
24	F	W	M	9.00	non	3	39	6	2	13
26	M	W	M	20.75	oui	3	40	2	0	15
41	M	S	M	20.00	non	10	39	4	2	12
68	M	NW	M	16.29	non	3	43	2	0	12
68	F	W	M	16.00	oui	3	39	2	0	11
28	M	S	C	14.00	non	8	40	3	1	13
32	F	NE	M	16.34	oui	2	44	2	0	15
38	M	S	C	62.00	non	2	46	8	0	16
24	F	W	C	7.65	non	3	40	4	0	10
